entry_time,signal_cutoff,exit_time,holding_days,symbol,category,eligible_count,ivol60,ivol90,ivol120,alpha90,beta90,tvol90,max28,mom90,log_volume30,entry_price,exit_price,target_asset_return,target_market_return,target_excess_return
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,ZILUSDT,PoW,24,0.01812493769336474,0.028608441784032858,0.0367164691528397,-0.0017359750424266896,0.932986919801333,0.05262856978000905,0.0597733359114736,-0.3267160616758482,17.764079209735595,0.03618,0.03117,-0.13847429519071308,-0.023486567113241097,-0.11498772807747198
2022-10-01 00:00:00+00:00,2022-09-29 00:00:00+00:00,2022-11-01 00:00:00+00:00,31,1000XECUSDT,Payment,25,0.03366837715936912,0.030225004279226923,0.02931986356775851,5.213417769570639e-05,0.7617948647055696,0.043205440215306,0.054915757596114556,0.1072637208536098,16.775462427671552,0.04111,0.03828,-0.06883969837022619,0.007171284618219609,-0.0760109829884458
2022-10-01 00:00:00+00:00,2022-09-29 00:00:00+00:00,2022-11-01 00:00:00+00:00,31,AAVEUSDT,DeFi,25,0.019597344325813414,0.026818996974007366,0.02746335790555861,0.0016249345925342974,1.3090958263194803,0.05842997022995464,0.06927247445256413,0.31137362539551017,17.890628637609446,74.57,83.75,0.12310580662464798,0.007171284618219609,0.11593452200642837
2022-10-01 00:00:00+00:00,2022-09-29 00:00:00+00:00,2022-11-01 00:00:00+00:00,31,AVAXUSDT,Layer-1,25,0.020685923789606462,0.021496425841611818,0.023449665067567273,-0.0009072002301117011,1.1365046904460143,0.05021640246732064,0.06733593724377718,0.07299890653863139,19.40661289441466,17.19,19.263,0.12059336823734723,0.007171284618219609,0.11342208361912762
2022-10-01 00:00:00+00:00,2022-09-29 00:00:00+00:00,2022-11-01 00:00:00+00:00,31,BCHUSDT,Payment,25,0.018108270991843586,0.02588770020617518,0.027743221702087338,1.4710541643996717e-05,1.05431215100744,0.04953700486345689,0.06937914587532568,0.14176583093076367,18.555254460011714,120.02,114.99,-0.04190968171971343,0.007171284618219609,-0.04908096633793304
2022-10-01 00:00:00+00:00,2022-09-29 00:00:00+00:00,2022-11-01 00:00:00+00:00,31,BNBUSDT,Layer-1,25,0.014589778245585888,0.015155866391914756,0.01690060337240059,0.002103046181352068,0.6380206140922182,0.030091221887973307,0.06177243929601772,0.2708319251279745,19.808316132672033,284.65,325.6,0.14386088178464806,0.007171284618219609,0.13668959716642845
2022-10-01 00:00:00+00:00,2022-09-29 00:00:00+00:00,2022-11-01 00:00:00+00:00,31,CRVUSDT,DeFi,25,0.032576698177317884,0.04315648718077109,0.0422087550548734,0.0003689327050066608,1.4258112689148175,0.07089677236953663,0.12003492658708664,0.2185693471862955,18.832535204853468,0.917,0.883,-0.03707742639040357,0.007171284618219609,-0.044248711008623175
2022-10-01 00:00:00+00:00,2022-09-29 00:00:00+00:00,2022-11-01 00:00:00+00:00,31,DASHUSDT,PoW,25,0.0165559566140579,0.017716907852027414,0.017121032703003726,-0.0013326111626941735,0.9511024360306547,0.04216686411539481,0.057962894963022205,0.011904902506318038,16.752686230415552,41.91,41.82,-0.0021474588403721517,0.007171284618219609,-0.009318743458591761
2022-10-01 00:00:00+00:00,2022-09-29 00:00:00+00:00,2022-11-01 00:00:00+00:00,31,ENSUSDT,Infrastructure,25,0.03686188908071958,0.040488211003484806,0.04019345489027398,0.005651203699628991,1.025941299838697,0.05771077087014216,0.07322133005791542,0.624629763735463,18.04460381783118,16.069,16.959,0.05538614724002744,0.007171284618219609,0.04821486262180783
2022-10-01 00:00:00+00:00,2022-09-29 00:00:00+00:00,2022-11-01 00:00:00+00:00,31,ETCUSDT,PoW,25,0.040285572804189346,0.047198139889295596,0.043230370734936505,0.005262522407682572,1.485346414108167,0.07512658131650934,0.20054731483275345,0.6406123987471775,20.65696022415902,27.729,24.225,-0.12636589851779723,0.007171284618219609,-0.13353718313601684
