method,block_weeks,eligible_weeks,effect,critical_mean,mean_gate_power,mean_gate_wilson_low,mean_gate_wilson_high,joint_power,joint_wilson_low,joint_wilson_high,draws
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,104,0.01,0.00913992552694,0.54572,0.539541461403,0.551884490236,0.53112,0.524929758435,0.537300679339,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,156,0,0.00759648565359,0.04248,0.0400494704694,0.0450511114682,0.0394,0.0370583545575,0.0418831737701,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,156,0.0025,0.00759648565359,0.11788,0.113941326663,0.121936087155,0.11156,0.1077169901,0.115522365661,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,156,0.005,0.00759648565359,0.26436,0.258930011685,0.269862393297,0.25324,0.247887620795,0.258668201025,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,156,0.0075,0.00759648565359,0.47544,0.469253778994,0.481633767545,0.4622,0.456026066246,0.468385548541,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,156,0.01,0.00759648565359,0.7032,0.697506092529,0.708831470311,0.6926,0.68685109898,0.698289720916,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,208,0,0.00671587960254,0.03592,0.0336836123297,0.0382989852958,0.0334,0.0312434241825,0.0356999477621,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,208,0.0025,0.00671587960254,0.12052,0.116542473878,0.124614128748,0.11564,0.11173479683,0.119663305272,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,208,0.005,0.00671587960254,0.30876,0.303063064107,0.314515698111,0.29796,0.292321979176,0.303660101552,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,208,0.0075,0.00671587960254,0.57028,0.564133246374,0.576405158726,0.56056,0.554398841246,0.566702550514,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,208,0.01,0.00671587960254,0.81408,0.809209348258,0.818854144541,0.8084,0.803474233588,0.813231004501,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,260,0,0.00598354338706,0.03604,0.0337998903666,0.0384226703865,0.03376,0.0315918233805,0.036071437947,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,260,0.0025,0.00598354338706,0.14016,0.135911985835,0.144518582019,0.13268,0.128531333903,0.136941532327,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,260,0.005,0.00598354338706,0.36972,0.363756583145,0.375723447924,0.3598,0.353872648969,0.365770430214,25000
