trade_id,symbol,signal_time,entry_time,exit_time,direction,entry_price,exit_price,funding_rate_sum,funding_events,funding_return,return_z,volume_shock,quote_volume,favorable_price_cost_return,favorable_net_return,base_price_cost_return,base_net_return,stress_price_cost_return,stress_net_return
THETAUSDT-20211214-+1,THETAUSDT,2021-12-13T00:00:00+00:00,2021-12-14T00:00:00+00:00,2021-12-15T00:00:00+00:00,1,3.9,4.031,0.00015773,3,-0.00015773,-1.85798317613,-0.607599953239,102386466.803,0.0323501796358,0.0321924496358,0.0302875419143,0.0301298119143,0.0282290212341,0.0280712912341
THETAUSDT-20220218-+1,THETAUSDT,2022-02-17T00:00:00+00:00,2022-02-18T00:00:00+00:00,2022-02-19T00:00:00+00:00,1,3.442,3.297,-8.19e-05,2,8.19e-05,-1.58776387277,-0.292490333049,199169937.499,-0.0432754292805,-0.0431935292805,-0.0451869668843,-0.0451050668843,-0.0470946890438,-0.0470127890438
THETAUSDT-20220301--1,THETAUSDT,2022-02-28T00:00:00+00:00,2022-03-01T00:00:00+00:00,2022-03-02T00:00:00+00:00,-1,3.359,3.285,0.00029083,3,0.00029083,3.39939377097,-0.129677374508,172813774.115,0.0208310857487,0.0211219157487,0.0188731885839,0.0191640185839,0.0169113677774,0.0172021977774
THETAUSDT-20220412-+1,THETAUSDT,2022-04-11T00:00:00+00:00,2022-04-12T00:00:00+00:00,2022-04-13T00:00:00+00:00,1,3.009,3.089,0.0002,2,-0.0002,-2.06334399551,-0.0159533889723,129937065.3,0.025355740361,0.025155740361,0.0233070775431,0.0231070775431,0.0212625038726,0.0210625038726
THETAUSDT-20220427-+1,THETAUSDT,2022-04-26T00:00:00+00:00,2022-04-27T00:00:00+00:00,2022-04-28T00:00:00+00:00,1,2.729,2.818,8.849e-05,3,-8.849e-05,-2.01709905757,-0.102708903046,139914539.817,0.0313742864578,0.0312857964578,0.0293135985728,0.0292251085728,0.0272570238372,0.0271685338372
THETAUSDT-20220430-+1,THETAUSDT,2022-04-29T00:00:00+00:00,2022-04-30T00:00:00+00:00,2022-05-01T00:00:00+00:00,1,2.557,2.206,0.00016657,2,-0.00016657,-1.60869797896,-0.601969616678,96201849.8412,-0.138304893482,-0.138471463482,-0.140026562026,-0.140193132026,-0.141744794106,-0.141911364106
THETAUSDT-20220501-+1,THETAUSDT,2022-04-30T00:00:00+00:00,2022-05-01T00:00:00+00:00,2022-05-02T00:00:00+00:00,1,2.206,2.344,-7.776e-05,2,7.776e-05,-2.83232068093,-0.491051332971,100218816.051,0.0612823602303,0.0613601202303,0.0591619159541,0.0592396759541,0.0570457041016,0.0571234641016
THETAUSDT-20220514--1,THETAUSDT,2022-05-13T00:00:00+00:00,2022-05-14T00:00:00+00:00,2022-05-15T00:00:00+00:00,-1,1.4,1.43,0.0002,2,0.0002,1.97740780537,-0.239368615451,109577515.609,-0.0226278518603,-0.0224278518603,-0.0246727539052,-0.0244727539052,-0.0267217539502,-0.0265217539502
THETAUSDT-20220728--1,THETAUSDT,2022-07-27T00:00:00+00:00,2022-07-28T00:00:00+00:00,2022-07-29T00:00:00+00:00,-1,1.277,1.346,0.00029337,3,0.00029337,1.63376408031,-0.10024318491,57537112.6032,-0.0552321700167,-0.0549388000167,-0.0573423459718,-0.0570489759718,-0.0594567507365,-0.0591633807365
THETAUSDT-20220907-+1,THETAUSDT,2022-09-06T00:00:00+00:00,2022-09-07T00:00:00+00:00,2022-09-08T00:00:00+00:00,1,1.07,1.11,-0.00023404,3,0.00023404,-2.24251141279,-0.197327715266,77761318.8547,0.036139064225,0.036373104225,0.0340688563045,0.0343028963045,0.0320027805355,0.0322368205355
